Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 89.0.4389.90,,,2021-03-16 15:09:21,2021-03-16 15:09:22,0.718s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 89.0.4389.90,,,2021-03-16 15:09:22,2021-03-16 15:09:23,0.537s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 89.0.4389.90,,,2021-03-16 15:09:23,2021-03-16 15:09:24,1.216s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 89.0.4389.90,,,2021-03-16 15:09:24,2021-03-16 15:09:25,1.089s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/label_Medicaid""))",Chrome 89.0.4389.90,,,2021-03-16 15:09:25,2021-03-16 15:09:25,0.478s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""))",Chrome 89.0.4389.90,,,2021-03-16 15:09:25,2021-03-16 15:09:26,0.628s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_16""))",Chrome 89.0.4389.90,,,2021-03-16 15:09:26,2021-03-16 15:09:26,0.477s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""), ""test"")",Chrome 89.0.4389.90,,,2021-03-16 15:09:26,2021-03-16 15:09:27,0.739s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 89.0.4389.90,,,2021-03-16 15:09:27,2021-03-16 15:09:28,0.765s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/h2_Appointment Confirmation""), ""Appointment Confirmation"")",Chrome 89.0.4389.90,,,2021-03-16 15:09:28,2021-03-16 15:09:28,0.448s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 89.0.4389.90,,,2021-03-16 15:09:28,2021-03-16 15:09:29,0.889s,PASSED
closeBrowser(),Chrome 89.0.4389.90,,,2021-03-16 15:09:29,2021-03-16 15:09:29,0.174s,PASSED
